_n,w,Average fitness,Average fitness deviation,Fitness median,Maximum fitness,Minimum fitness,Standard fitness deviation,Fitness range,Selection,Crossover,Mutation
248,9,30.64,0.98,31.15,31.15,20.85,2.24,10.3,Elitism,Twopoint,Uniform
249,10,30.64,0.98,31.15,31.15,20.85,2.24,10.3,Elitism,Twopoint,Uniform
250,11,29.61,2.63,31.15,31.15,20.85,3.68,10.3,Elitism,Twopoint,Uniform
251,12,28.58,3.86,31.15,31.15,20.85,4.46,10.3,Elitism,Twopoint,Uniform
252,13,30.12,1.85,31.15,31.15,20.85,3.09,10.3,Elitism,Twopoint,Uniform
253,14,30.64,0.98,31.15,31.15,20.85,2.24,10.3,Elitism,Twopoint,Uniform
254,15,31.16,0.01,31.15,31.3,31.15,0.03,0.15,Elitism,Twopoint,Uniform
255,16,31.16,0.01,31.15,31.3,31.15,0.03,0.15,Elitism,Twopoint,Uniform
256,17,31.16,0.01,31.15,31.3,31.15,0.03,0.15,Elitism,Twopoint,Uniform
257,18,31.16,0.01,31.15,31.3,31.15,0.03,0.15,Elitism,Twopoint,Uniform
258,19,30.66,0.95,31.15,31.3,21.15,2.18,10.15,Elitism,Twopoint,Uniform
259,20,31.16,0.01,31.15,31.3,31.15,0.03,0.15,Elitism,Twopoint,Uniform
260,1,19.73,4.58,21.15,30.35,8.5,5.36,21.85,Elitism,Twopoint,Flipbit
261,2,16.24,5.4,13.95,30.65,6.09,6.2,24.56,Elitism,Twopoint,Flipbit
262,3,19.09,6.74,17.13,33.83,6.82,7.83,27.01,Elitism,Twopoint,Flipbit
263,4,21.41,6.01,21.9,32.4,11.07,7.14,21.33,Elitism,Twopoint,Flipbit
264,5,20.83,6.1,21.31,42.45,11.35,7.88,31.1,Elitism,Twopoint,Flipbit
265,6,17.2,5.76,13.98,35.04,8.26,6.92,26.78,Elitism,Twopoint,Flipbit
266,7,20.56,6.51,16.56,45.54,11.11,8.35,34.43,Elitism,Twopoint,Flipbit
267,8,19.01,4.98,17.9,37.05,4.8,6.66,32.25,Elitism,Twopoint,Flipbit
268,9,19.92,6.31,18,41.04,9.6,8.21,31.44,Elitism,Twopoint,Flipbit
269,10,18.55,3.96,20.2,24.52,11.35,4.39,13.17,Elitism,Twopoint,Flipbit
270,11,18.9,6.04,15.73,35.76,11.6,7.04,24.16,Elitism,Twopoint,Flipbit
271,12,17.88,5.06,15.47,31.35,11.85,6,19.5,Elitism,Twopoint,Flipbit
272,13,17.39,4.22,15.4,33.86,11.65,5.38,22.21,Elitism,Twopoint,Flipbit
273,14,16.85,3.72,15.87,31.5,11.5,4.95,20,Elitism,Twopoint,Flipbit
274,15,18.61,4.52,18.55,37.3,11.47,5.93,25.83,Elitism,Twopoint,Flipbit
275,16,23.09,5.91,21.78,57.5,12.39,9.43,45.11,Elitism,Twopoint,Flipbit
276,17,23.06,6.88,20.85,57.73,12,9.89,45.73,Elitism,Twopoint,Flipbit
277,18,20.48,6.16,18.71,47.78,11.47,8.57,36.31,Elitism,Twopoint,Flipbit
278,19,21.9,6.67,21.8,39.45,11.11,8.53,28.34,Elitism,Twopoint,Flipbit
279,20,17.75,6.41,14.4,33.52,1.15,7.55,32.37,Elitism,Twopoint,Flipbit
280,1,19.5,7.49,18.2,33.95,9.25,7.98,24.7,Elitism,Twopoint,Gaussian
281,2,24.44,8.64,23.4,55.85,11.05,11.18,44.8,Elitism,Twopoint,Gaussian
282,3,24.8,9.22,23.7,60.35,10.85,11.92,49.5,Elitism,Twopoint,Gaussian
283,4,28.64,9.92,30.13,94.35,11.45,16.97,82.9,Elitism,Twopoint,Gaussian
284,5,21.67,6.68,21.15,31.6,1.25,8.67,30.35,Elitism,Twopoint,Gaussian
285,6,27.28,5.59,31.15,37.35,6.9,6.72,30.45,Elitism,Twopoint,Gaussian
286,7,28.62,3.71,31.15,31.15,21.15,4.28,10,Elitism,Twopoint,Gaussian
287,8,27.62,4.59,31.15,31.15,20.57,4.81,10.58,Elitism,Twopoint,Gaussian
288,9,26.53,5.02,30.87,31.15,20.57,5.05,10.58,Elitism,Twopoint,Gaussian
289,10,27.09,4.81,31.01,31.15,20.57,4.91,10.58,Elitism,Twopoint,Gaussian
290,11,25.11,5.38,21.15,31.15,10.85,5.84,20.3,Elitism,Twopoint,Gaussian
291,12,23.61,4.53,21.15,31.15,10.85,5.41,20.3,Elitism,Twopoint,Gaussian
292,13,23.62,3.74,21.15,31.15,20.85,4.32,10.3,Elitism,Twopoint,Gaussian
293,14,23.59,4.48,21.15,31.15,10.85,5.37,20.3,Elitism,Twopoint,Gaussian
294,15,23.14,3.18,21.15,31.15,21.15,3.97,10,Elitism,Twopoint,Gaussian
295,16,22.15,1.8,21.15,31.15,21.15,3,10,Elitism,Twopoint,Gaussian
296,17,22.15,1.8,21.15,31.15,21.15,3,10,Elitism,Twopoint,Gaussian
297,18,22.15,1.8,21.15,31.15,21.15,3,10,Elitism,Twopoint,Gaussian
298,19,22.15,1.8,21.15,31.15,21.15,3,10,Elitism,Twopoint,Gaussian
299,20,22.15,1.8,21.15,31.15,21.15,3,10,Elitism,Twopoint,Gaussian
300,1,19.01,6.44,20.64,36.8,8.67,7.75,28.13,Elitism,Onepoint,Uniform
301,2,21.96,6.64,22,33.05,8.95,7.92,24.1,Elitism,Onepoint,Uniform
302,3,25.53,5.87,26.67,38.08,8.35,7.19,29.73,Elitism,Onepoint,Uniform
303,4,25.48,7.14,27.35,45.8,10.87,8.48,34.93,Elitism,Onepoint,Uniform
304,5,23.61,8.36,31.15,31.45,10.87,8.95,20.58,Elitism,Onepoint,Uniform
305,6,21.61,9.6,26,31.45,10.87,9.83,20.58,Elitism,Onepoint,Uniform
306,7,20.55,8.63,20.85,31.45,10.87,9.33,20.58,Elitism,Onepoint,Uniform
307,8,20.55,8.66,20.86,31.45,10.87,9.34,20.58,Elitism,Onepoint,Uniform
308,9,18.02,9.53,11.15,31.45,0.57,10.21,30.88,Elitism,Onepoint,Uniform
309,10,16.5,8.29,10.87,31.45,0.57,9.38,30.88,Elitism,Onepoint,Uniform
310,11,13.97,5.21,10.87,31.45,10.85,7.3,20.6,Elitism,Onepoint,Uniform
311,12,14,6.64,10.87,31.45,0.57,8.62,30.88,Elitism,Onepoint,Uniform
312,13,15.1,6.69,11.15,31.45,0.57,8.14,30.88,Elitism,Onepoint,Uniform
313,14,12.04,4.79,11.15,31.45,0.57,7.87,30.88,Elitism,Onepoint,Uniform
314,15,11.55,3.98,11.15,31.45,0.57,7.57,30.88,Elitism,Onepoint,Uniform
315,16,10.99,4.2,10.87,31.45,0.57,7.94,30.88,Elitism,Onepoint,Uniform
316,17,9.41,6.1,10.87,31.45,0.57,8.75,30.88,Elitism,Onepoint,Uniform
317,18,9.45,6.13,10.87,31.45,0.57,8.75,30.88,Elitism,Onepoint,Uniform
318,19,9.45,6.13,10.87,31.45,0.57,8.75,30.88,Elitism,Onepoint,Uniform
319,20,9.39,6.09,10.87,31.45,0.57,8.74,30.88,Elitism,Onepoint,Uniform
320,1,18.44,4.79,16.03,39.35,10.93,6.42,28.42,Elitism,Onepoint,Flipbit
321,2,19.32,4.92,18.68,34.41,9.9,6.14,24.51,Elitism,Onepoint,Flipbit
322,3,20.17,7.38,19.04,38.16,9.53,8.84,28.63,Elitism,Onepoint,Flipbit
323,4,18.09,4.66,16.77,29.8,6.25,5.45,23.55,Elitism,Onepoint,Flipbit
324,5,20.57,7.29,19.84,45.75,7.8,9.19,37.95,Elitism,Onepoint,Flipbit
325,6,19.52,7.38,14.9,47.9,9.61,9.83,38.29,Elitism,Onepoint,Flipbit
326,7,21.06,8.49,19.84,48.62,4.65,11.07,43.97,Elitism,Onepoint,Flipbit
327,8,19.5,12.57,12.67,52.82,1.62,15.54,51.2,Elitism,Onepoint,Flipbit
328,9,21.75,9.09,18.25,57.85,11.37,11.82,46.48,Elitism,Onepoint,Flipbit
329,10,20.44,7.67,19.44,54.2,3.65,10.82,50.55,Elitism,Onepoint,Flipbit
330,11,20.89,6.14,22.21,35.14,11.75,6.86,23.39,Elitism,Onepoint,Flipbit
331,12,19.8,4.84,21.6,36.64,11.5,5.97,25.14,Elitism,Onepoint,Flipbit
332,13,19.24,7.13,14.95,36.47,11.07,8.06,25.4,Elitism,Onepoint,Flipbit
333,14,17.89,5.91,14.92,35.45,11.15,7.06,24.3,Elitism,Onepoint,Flipbit
334,15,18.31,5.23,16.02,31.72,11.34,6.02,20.38,Elitism,Onepoint,Flipbit
335,16,18,5.84,14.76,36.59,11.45,7.57,25.14,Elitism,Onepoint,Flipbit
336,17,23.72,7.63,21.43,64.31,11.7,11.36,52.61,Elitism,Onepoint,Flipbit
337,18,18.6,4.89,17.26,37.84,11.57,7.14,26.27,Elitism,Onepoint,Flipbit
338,19,20.32,6.59,17.93,50.06,11.39,9.18,38.67,Elitism,Onepoint,Flipbit
339,20,19.9,5.46,17.53,52.25,13,8.86,39.25,Elitism,Onepoint,Flipbit
340,1,18.44,4.79,16.03,39.35,10.93,6.42,28.42,Elitism,Onepoint,Gaussian
341,2,19.32,4.92,18.68,34.41,9.9,6.14,24.51,Elitism,Onepoint,Gaussian
342,3,20.17,7.38,19.04,38.16,9.53,8.84,28.63,Elitism,Onepoint,Gaussian
343,4,18.09,4.66,16.77,29.8,6.25,5.45,23.55,Elitism,Onepoint,Gaussian
344,5,20.57,7.29,19.84,45.75,7.8,9.19,37.95,Elitism,Onepoint,Gaussian
345,6,19.52,7.38,14.9,47.9,9.61,9.83,38.29,Elitism,Onepoint,Gaussian
346,7,21.06,8.49,19.84,48.62,4.65,11.07,43.97,Elitism,Onepoint,Gaussian
347,8,19.5,12.57,12.67,52.82,1.62,15.54,51.2,Elitism,Onepoint,Gaussian
348,9,21.75,9.09,18.25,57.85,11.37,11.82,46.48,Elitism,Onepoint,Gaussian
349,10,20.44,7.67,19.44,54.2,3.65,10.82,50.55,Elitism,Onepoint,Gaussian
350,11,20.89,6.14,22.21,35.14,11.75,6.86,23.39,Elitism,Onepoint,Gaussian
351,12,19.8,4.84,21.6,36.64,11.5,5.97,25.14,Elitism,Onepoint,Gaussian
352,13,19.24,7.13,14.95,36.47,11.07,8.06,25.4,Elitism,Onepoint,Gaussian
353,14,17.89,5.91,14.92,35.45,11.15,7.06,24.3,Elitism,Onepoint,Gaussian
354,15,18.31,5.23,16.02,31.72,11.34,6.02,20.38,Elitism,Onepoint,Gaussian
355,16,18,5.84,14.76,36.59,11.45,7.57,25.14,Elitism,Onepoint,Gaussian
356,17,23.72,7.63,21.43,64.31,11.7,11.36,52.61,Elitism,Onepoint,Gaussian
357,18,18.6,4.89,17.26,37.84,11.57,7.14,26.27,Elitism,Onepoint,Gaussian
358,19,20.32,6.59,17.93,50.06,11.39,9.18,38.67,Elitism,Onepoint,Gaussian
359,20,19.9,5.46,17.53,52.25,13,8.86,39.25,Elitism,Onepoint,Gaussian
360,1,18.36,4.52,18.93,29.7,9.45,5.28,20.25,RouletteWheel,Uniform,Uniform
361,2,22.87,5.3,21.25,31.15,10.87,6.53,20.28,RouletteWheel,Uniform,Uniform
362,3,28.53,4.41,31.15,38.6,21.07,5.07,17.53,RouletteWheel,Uniform,Uniform
363,4,32.8,6.16,31.15,94.35,21.07,14.57,73.28,RouletteWheel,Uniform,Uniform
364,5,30.13,1.83,31.15,31.15,20.85,3.06,10.3,RouletteWheel,Uniform,Uniform
365,6,30.64,0.98,31.15,31.15,20.85,2.24,10.3,RouletteWheel,Uniform,Uniform
366,7,30.12,1.85,31.15,31.15,20.85,3.09,10.3,RouletteWheel,Uniform,Uniform
367,8,30.12,1.85,31.15,31.15,20.85,3.09,10.3,RouletteWheel,Uniform,Uniform
368,9,30.12,1.85,31.15,31.15,20.85,3.09,10.3,RouletteWheel,Uniform,Uniform
369,10,30.64,0.98,31.15,31.15,20.85,2.24,10.3,RouletteWheel,Uniform,Uniform
370,11,30.64,0.98,31.15,31.15,20.85,2.24,10.3,RouletteWheel,Uniform,Uniform
371,12,30.12,1.85,31.15,31.15,20.85,3.09,10.3,RouletteWheel,Uniform,Uniform
372,13,30.12,1.85,31.15,31.15,20.85,3.09,10.3,RouletteWheel,Uniform,Uniform
373,14,30.64,0.98,31.15,31.15,20.85,2.24,10.3,RouletteWheel,Uniform,Uniform
374,15,30.64,0.98,31.15,31.15,20.85,2.24,10.3,RouletteWheel,Uniform,Uniform
375,16,30.12,1.85,31.15,31.15,20.85,3.09,10.3,RouletteWheel,Uniform,Uniform
376,17,29.61,2.63,31.15,31.15,20.85,3.68,10.3,RouletteWheel,Uniform,Uniform
377,18,30.64,0.98,31.15,31.15,20.85,2.24,10.3,RouletteWheel,Uniform,Uniform
378,19,30.64,0.98,31.15,31.15,20.85,2.24,10.3,RouletteWheel,Uniform,Uniform
379,20,31.15,0,31.15,31.15,31.15,0,0,RouletteWheel,Uniform,Uniform
380,1,18.49,4.94,18.54,27.4,8.95,5.38,18.45,RouletteWheel,Uniform,Flipbit
381,2,20.84,4.53,22.13,38.25,10.4,6.09,27.85,RouletteWheel,Uniform,Flipbit
382,3,18.11,6.44,15.63,35.07,8.5,7.59,26.57,RouletteWheel,Uniform,Flipbit
383,4,23.2,7.82,21.79,44.67,11.07,9.85,33.6,RouletteWheel,Uniform,Flipbit
384,5,21.29,7.66,21.48,51.07,11.09,10.09,39.98,RouletteWheel,Uniform,Flipbit
385,6,19.47,8.71,13.55,50.37,11.22,11.18,39.15,RouletteWheel,Uniform,Flipbit
386,7,19.85,6.36,19.78,32.12,11.09,7.25,21.03,RouletteWheel,Uniform,Flipbit
387,8,19.67,5.63,17.68,34.69,12.3,6.83,22.39,RouletteWheel,Uniform,Flipbit
388,9,19.24,5.89,20.83,35.37,11.07,6.96,24.3,RouletteWheel,Uniform,Flipbit
389,10,16.24,4.44,13.76,30.45,11.47,5.24,18.98,RouletteWheel,Uniform,Flipbit
390,11,16.29,5.32,12.86,30.09,11.37,5.88,18.72,RouletteWheel,Uniform,Flipbit
391,12,19.21,6.84,15.59,47.16,11.47,8.65,35.69,RouletteWheel,Uniform,Flipbit
392,13,24.08,7.27,21.6,41.89,11.49,8.65,30.4,RouletteWheel,Uniform,Flipbit
393,14,20.73,7.36,19.41,41.1,11.65,9.03,29.45,RouletteWheel,Uniform,Flipbit
394,15,17.9,5.81,15.34,34.67,11.2,6.65,23.47,RouletteWheel,Uniform,Flipbit
395,16,17.81,5.88,15.05,33.12,11.09,7.14,22.03,RouletteWheel,Uniform,Flipbit
396,17,18.16,5.62,15.34,38.03,11.32,7.33,26.71,RouletteWheel,Uniform,Flipbit
397,18,18.56,6.52,15.43,34.37,11.09,7.9,23.28,RouletteWheel,Uniform,Flipbit
398,19,18.67,5.28,16.45,31.5,11.4,6,20.1,RouletteWheel,Uniform,Flipbit
399,20,22,6.31,21.98,42.58,11.32,8.38,31.26,RouletteWheel,Uniform,Flipbit
400,1,17.26,5.45,15.23,32.5,8.2,6.49,24.3,RouletteWheel,Uniform,Gaussian
401,2,21.56,7.26,21.93,31.15,10.87,8.35,20.28,RouletteWheel,Uniform,Gaussian
402,3,24.77,6.01,21.3,33.6,11.15,6.7,22.45,RouletteWheel,Uniform,Gaussian
403,4,27.62,4.59,31.15,31.15,20.85,4.81,10.3,RouletteWheel,Uniform,Gaussian
404,5,28.63,3.77,31.15,31.15,20.85,4.35,10.3,RouletteWheel,Uniform,Gaussian
405,6,29.13,3.22,31.15,31.15,20.85,4.03,10.3,RouletteWheel,Uniform,Gaussian
406,7,29.65,2.55,31.15,31.15,21.15,3.57,10,RouletteWheel,Uniform,Gaussian
407,8,30.65,0.95,31.15,31.15,21.15,2.18,10,RouletteWheel,Uniform,Gaussian
408,9,30.14,1.8,31.15,31.15,21.15,3,10,RouletteWheel,Uniform,Gaussian
409,10,29.64,2.55,31.15,31.15,21.15,3.57,10,RouletteWheel,Uniform,Gaussian
410,11,30.14,1.8,31.15,31.15,21.15,3,10,RouletteWheel,Uniform,Gaussian
411,12,30.64,0.95,31.15,31.15,21.15,2.18,10,RouletteWheel,Uniform,Gaussian
412,13,30.64,0.95,31.15,31.15,21.15,2.18,10,RouletteWheel,Uniform,Gaussian
413,14,31.14,0.01,31.15,31.15,31.07,0.02,0.08,RouletteWheel,Uniform,Gaussian
414,15,31.13,0.03,31.15,31.15,31.07,0.03,0.08,RouletteWheel,Uniform,Gaussian
415,16,31.13,0.03,31.15,31.15,31.07,0.03,0.08,RouletteWheel,Uniform,Gaussian
416,17,31.14,0.02,31.15,31.15,31.07,0.03,0.08,RouletteWheel,Uniform,Gaussian
417,18,31.15,0.01,31.15,31.15,31.07,0.02,0.08,RouletteWheel,Uniform,Gaussian
418,19,31.15,0,31.15,31.15,31.15,0,0,RouletteWheel,Uniform,Gaussian
419,20,31.15,0,31.15,31.15,31.15,0,0,RouletteWheel,Uniform,Gaussian
420,1,18.87,7.89,14.1,38.5,8.95,8.9,29.55,RouletteWheel,Twopoint,Uniform
421,2,23.01,5.95,24,35.45,11.45,7.5,24,RouletteWheel,Twopoint,Uniform
422,3,27.44,6.03,28.55,39.7,10.26,7.51,29.44,RouletteWheel,Twopoint,Uniform
423,4,30.71,5.29,31.2,50.45,10.7,7.82,39.75,RouletteWheel,Twopoint,Uniform
424,5,33.58,5.99,31.15,50.45,21.15,7.9,29.3,RouletteWheel,Twopoint,Uniform
425,6,31.77,2.95,31.15,44.8,20.85,5.2,23.95,RouletteWheel,Twopoint,Uniform
426,7,30.23,4.58,31.15,56.75,20.85,7.64,35.9,RouletteWheel,Twopoint,Uniform
427,8,31.85,5.17,31.15,56.75,20.85,9.26,35.9,RouletteWheel,Twopoint,Uniform
428,9,30.79,4.38,31.15,69.45,20.85,9.76,48.6,RouletteWheel,Twopoint,Uniform
429,10,30.65,0.98,31.15,31.3,20.85,2.25,10.45,RouletteWheel,Twopoint,Uniform
430,11,31.17,0.04,31.15,31.3,31.15,0.05,0.15,RouletteWheel,Twopoint,Uniform
431,12,31.2,0.06,31.15,31.3,31.15,0.07,0.15,RouletteWheel,Twopoint,Uniform
432,13,31.21,0.07,31.15,31.3,31.15,0.07,0.15,RouletteWheel,Twopoint,Uniform
433,14,31.2,0.06,31.15,31.3,31.15,0.07,0.15,RouletteWheel,Twopoint,Uniform
434,15,30.68,0.95,31.15,31.3,21.15,2.19,10.15,RouletteWheel,Twopoint,Uniform
435,16,30.67,0.95,31.15,31.3,21.15,2.19,10.15,RouletteWheel,Twopoint,Uniform
436,17,30.67,0.95,31.15,31.3,21.15,2.19,10.15,RouletteWheel,Twopoint,Uniform
437,18,31.17,0.03,31.15,31.3,31.15,0.04,0.15,RouletteWheel,Twopoint,Uniform
438,19,31.15,0,31.15,31.15,31.15,0,0,RouletteWheel,Twopoint,Uniform
439,20,31.15,0,31.15,31.15,31.15,0,0,RouletteWheel,Twopoint,Uniform
440,1,16.24,5.66,13.4,37.15,9.05,7.14,28.1,RouletteWheel,Twopoint,Flipbit
441,2,17.04,4.42,16.46,35.71,8.5,6.05,27.21,RouletteWheel,Twopoint,Flipbit
442,3,19.42,7.25,17.64,42.57,5.33,9.01,37.24,RouletteWheel,Twopoint,Flipbit
443,4,19.7,6.41,17.18,41.42,11.19,7.99,30.23,RouletteWheel,Twopoint,Flipbit
444,5,21.09,5.79,21.49,40.85,10.47,7.74,30.38,RouletteWheel,Twopoint,Flipbit
445,6,16.89,5.08,13.67,27.7,11.07,5.61,16.63,RouletteWheel,Twopoint,Flipbit
446,7,20.1,5.17,20.01,37.25,10.89,6.55,26.36,RouletteWheel,Twopoint,Flipbit
447,8,22.88,8.33,20.06,49.3,11.26,10,38.04,RouletteWheel,Twopoint,Flipbit
448,9,21.1,7.37,17.75,47.69,8.06,9.49,39.63,RouletteWheel,Twopoint,Flipbit
449,10,25.78,9.72,23.8,57.31,11.38,13.01,45.93,RouletteWheel,Twopoint,Flipbit
450,11,23.32,8.29,22.1,47.55,11.07,9.98,36.48,RouletteWheel,Twopoint,Flipbit
451,12,31.92,12.65,33.33,58.87,11.09,14.6,47.78,RouletteWheel,Twopoint,Flipbit
452,13,38.98,13.09,42.19,58.94,11.38,14.73,47.56,RouletteWheel,Twopoint,Flipbit
453,14,35.17,17.67,44.45,67.31,11.4,18.53,55.91,RouletteWheel,Twopoint,Flipbit
454,15,42.44,13.14,48.59,69.22,11.39,15.86,57.83,RouletteWheel,Twopoint,Flipbit
455,16,34.73,16.65,29.17,69.68,11.34,18.48,58.34,RouletteWheel,Twopoint,Flipbit
456,17,37.1,17.08,40.59,70.07,11.22,19.09,58.85,RouletteWheel,Twopoint,Flipbit
457,18,30.48,15.06,24.22,69.15,11.2,17.75,57.95,RouletteWheel,Twopoint,Flipbit
458,19,32.21,21.15,22.63,70.54,11.07,23,59.47,RouletteWheel,Twopoint,Flipbit
459,20,45.79,17.84,53.08,72.56,11.37,20.18,61.19,RouletteWheel,Twopoint,Flipbit
460,1,16.67,5.48,15.51,33.07,8.95,6.44,24.12,RouletteWheel,Twopoint,Gaussian
461,2,24.43,11.54,19.19,84.3,9.95,16.56,74.35,RouletteWheel,Twopoint,Gaussian
462,3,31.14,16.88,21.05,120.5,9.7,26.04,110.8,RouletteWheel,Twopoint,Gaussian
463,4,51.61,30.92,35.88,127.25,0.9,35.4,126.35,RouletteWheel,Twopoint,Gaussian
464,5,54.2,34.94,31.15,120.5,11.45,37.77,109.05,RouletteWheel,Twopoint,Gaussian
465,6,51.46,32.5,31.15,120.5,11.15,36.44,109.35,RouletteWheel,Twopoint,Gaussian
466,7,67.58,38.44,57.8,120.5,20.85,40.54,99.65,RouletteWheel,Twopoint,Gaussian
467,8,87.12,38.01,120.5,125.6,5.05,42.89,120.55,RouletteWheel,Twopoint,Gaussian
468,9,108.2,20.19,120.5,125.6,31.15,27.92,94.45,RouletteWheel,Twopoint,Gaussian
469,10,114.73,11.4,120.5,125.6,31.15,20.83,94.45,RouletteWheel,Twopoint,Gaussian
470,11,120.5,0,120.5,120.5,120.5,0,0,RouletteWheel,Twopoint,Gaussian
471,12,120.79,0.51,120.5,125.6,120.5,1.11,5.1,RouletteWheel,Twopoint,Gaussian
472,13,120.64,0.26,120.5,123.2,120.5,0.59,2.7,RouletteWheel,Twopoint,Gaussian
473,14,121.03,0.89,120.5,125.6,120.5,1.32,5.1,RouletteWheel,Twopoint,Gaussian
474,15,120.5,0,120.5,120.5,120.5,0,0,RouletteWheel,Twopoint,Gaussian
475,16,121,0.84,120.5,125.6,120.5,1.4,5.1,RouletteWheel,Twopoint,Gaussian
476,17,120.76,0.48,120.5,125.6,120.5,1.11,5.1,RouletteWheel,Twopoint,Gaussian
477,18,121.51,1.72,120.5,130.5,120.5,2.57,10,RouletteWheel,Twopoint,Gaussian
478,19,122.54,3.41,120.5,135.6,120.5,4.86,15.1,RouletteWheel,Twopoint,Gaussian
479,20,122.77,3.17,120.5,130.5,120.5,3.71,10,RouletteWheel,Twopoint,Gaussian
480,1,17.57,6.48,14.73,33.9,9.35,7.3,24.55,RouletteWheel,Onepoint,Uniform
481,2,21.55,7.1,21.23,37.8,8.75,8.47,29.05,RouletteWheel,Onepoint,Uniform
